product_id,sustituto_id,score
1007,1141,0.7192334902591692
1024,1084,0.9088514196043929
1056,1067,0.9248347235273222
1056,1059,0.8928713789758531
1059,1067,0.9088668070584726
1059,1056,0.8928713789758531
1067,1056,0.9248347235273222
1067,1059,0.9088668070584726
1075,1076,0.7365843295379559
1075,1095,0.7153726696395076
1076,1075,0.7365843295379559
1084,1024,0.9088514196043929
1087,1113,0.9217198409500443
1087,1092,0.8918382212162068
1089,1101,0.8126706818621606
1092,1113,0.9067215698627495
1092,1087,0.8918382212162068
1095,1075,0.7153726696395076
1099,1100,0.9525513444863588
1100,1099,0.9525513444863588
1101,1089,0.8126706818621606
1107,1116,0.9834961671181947
1107,1170,0.9833271910305715
1107,1169,0.9700615712975275
1113,1087,0.9217198409500443
1113,1092,0.9067215698627495
1116,1107,0.9834961671181947
1116,1170,0.9796298695015794
1116,1169,0.9664141286510495
1141,1007,0.7192334902591692
1162,1163,0.8172660546094239
1163,1162,0.8172660546094239
1169,1107,0.9700615712975275
1169,1116,0.9664141286510495
1169,1170,0.9662480874564389
1170,1107,0.9833271910305715
1170,1116,0.9796298695015794
1170,1169,0.9662480874564389
1277,1581,0.9524123366575258
1282,1300,0.9479124217733216
1282,1690,0.923568044796167
1300,1282,0.9479124217733216
1300,1690,0.9340861976801388
1307,1353,0.9593176365502124
1307,1783,0.8613860872187777
1307,1340,0.8045815338642085
1321,1357,0.8594169194109957
1323,1411,0.9456129122614965
1323,1771,0.9309242906396372
1323,1773,0.9297274353372071
1334,1777,0.7325177007459127
1334,1361,0.7242037300039486
1340,1353,0.8117153027508636
1340,1307,0.8045815338642085
1340,1783,0.7595057891772046
1351,1364,0.8202635214810329
1353,1307,0.9593176365502124
1353,1783,0.8690235099158741
1353,1340,0.8117153027508636
1357,1321,0.8594169194109957
1361,1777,0.8746127905327423
1361,1363,0.8170450017926787
1361,1781,0.750248096177581
1362,1785,0.9013479811543658
1363,1777,0.8264248046828618
1363,1361,0.8170450017926787
1363,1781,0.7089121529649467
1364,1351,0.8202635214810329
1368,1777,0.7314443760322985
1368,1361,0.7231425873717455
1369,1378,0.9064516355845477
1369,1373,0.9033551122013799
1369,1788,0.8998153592588285
1373,1788,0.9420812143061257
1373,1378,0.9311001792934833
1373,1369,0.9033551122013799
1375,1795,0.9188986489256048
1378,1373,0.9311001792934833
1378,1788,0.9274517086589038
1378,1369,0.9064516355845477
1411,1771,0.953287701582649
1411,1773,0.9520620944609393
1411,1770,0.9518425326657413
1427,1428,0.8824404901198221
1428,1427,0.8824404901198221
1456,1461,0.9440259644869972
1456,1457,0.9295706369534829
1456,1459,0.9070338280446288
1457,1456,0.9295706369534829
1457,1461,0.9295706369534829
1457,1459,0.8931449398555341
1459,1456,0.9070338280446288
1459,1461,0.9070338280446288
1459,1457,0.8931449398555341
1461,1456,0.9440259644869972
1461,1457,0.9295706369534829
1461,1459,0.9070338280446288
1507,1508,0.93866082799853
1508,1507,0.93866082799853
1581,1277,0.9524123366575258
1665,1666,0.8723678457382961
1666,1665,0.8723678457382961
1690,1300,0.9340861976801388
1690,1282,0.923568044796167
1770,1411,0.9518425326657413
