Product_ID,on_hand
1000,145
1001,156
1003,94
1007,631
1008,55
1013,41
1014,30
1019,26
1024,398
1030,482
1035,222
1043,256
1049,13
1051,11
1053,216
1055,13
1056,35
1057,20
1059,33
1062,16
1063,192
1067,31
1075,128
1076,125
1080,11
1084,143
1086,112
1087,128
1089,107
1090,6
1092,119
1095,96
1096,10
1099,7
1100,7
1101,91
1107,8
1112,65
1113,76
1116,6
1117,56
1125,39
1129,27
1131,42
1136,1
1138,11
1140,1
1141,0
1147,0
1150,0
1152,0
1155,0
1157,0
1159,0
1162,0
1163,0
1169,0
1170,0
1174,0
1176,0
1177,0
1181,0
1183,0
1184,0
1185,0
1187,0
1188,0
1194,0
1197,0
1199,0
1201,0
1204,0
1206,0
1207,0
1210,0
1215,0
1221,0
1222,0
1225,0
1229,0
1232,128
1233,17
1234,22
1235,15
1238,13
1240,11
1243,12
1245,14
1248,11
1250,21
1251,9
1252,6
1253,7
1254,17
1256,6
1258,135
1262,6
1265,11
1266,11
1268,6
1270,5
1272,5
1274,13
1276,10
1277,9
1282,11
1289,4
1291,7
1292,10
1296,133
1300,8
1301,6
1302,6
1305,67
1306,8
1307,53
1311,1
1312,4
1313,3
1320,3
1321,37
1323,20
1324,2
1327,2
1328,2
1334,18
1338,1
1339,23
1340,14
1351,9
1352,67
1353,10
1355,1
1356,1
1357,12
1361,7
1362,7
1363,6
1364,5
1368,4
1369,4
1373,3
1375,2
1378,1
1385,0
1389,0
1390,0
1392,0
1395,0
1403,0
1404,0
1410,0
1411,0
1412,0
1413,0
1416,0
1418,0
1419,0
1420,0
1421,0
1422,0
1427,0
1428,0
1429,0
1434,0
1436,0
1437,0
1438,0
1439,0
1440,0
1444,0
1445,0
1446,0
1447,0
1449,0
1453,0
1456,0
1457,0
1459,0
1461,0
1469,0
1474,0
1476,0
1477,0
1478,0
1479,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1488,0
1490,0
1492,0
1493,0
1503,0
1507,0
1508,0
1513,0
1523,0
1526,0
1527,0
1528,0
1529,0
1531,0
1533,0
1534,0
1535,0
1536,0
1537,0
1539,0
1541,0
1542,0
1543,0
1544,0
1545,0
1547,0
1550,0
1553,0
1556,0
1558,0
1560,0
1564,0
1566,0
1569,0
1571,0
1574,0
1576,0
1577,0
1578,0
1581,0
1584,0
1585,0
1587,0
1588,0
1589,0
1593,0
1594,0
1605,0
1608,0
1613,0
1614,0
1620,0
1623,0
1628,0
1652,0
1654,0
1658,0
1660,0
1661,0
1663,0
1665,0
1666,0
1669,0
1670,0
1672,0
1674,0
1675,0
1685,0
1690,0
1695,0
1696,0
1701,0
1705,0
1713,0
1717,0
1723,0
1726,0
1727,0
1733,0
1734,0
1736,0
1739,0
1744,0
1749,0
1750,0
1756,0
1760,0
1762,0
1764,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1777,0
1779,0
1780,0
1781,0
