Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio
1089,8436567353372,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Naranja-Chocolate,Vegano,107,False,Activo,1,0,28.985
1090,8436567356168,226ERS,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor Cappuccino,Proteínas,6,False,Activo,1,0,40.038
1092,8436567353068,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Lima,Barritas,119,False,Activo,1,0,43.083333333333336
1095,8436567353389,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Pan de Banana,Sin Gluten,96,False,Activo,2,0,38.120000000000005
1096,8436567355307,226ERS,226ERS SPORTS THINGS SL,226ers Vegan Recovery Drink 500 Gr Sabor Chocolate - Caramelo,Recuperación,10,False,Activo,1,0,65.34
1099,8436567350487,226ERS,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Cappuccino,Articulaciones,7,False,Activo,1,0,69.205
1100,8436567350494,226ERS,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Chocolate,Articulaciones,7,False,Activo,2,0,49.345
1101,8436567354614,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Coco,Vegano,91,False,Activo,1,0,89.425
1107,8436567350593,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Chocolate,Recuperación,8,False,Activo,2,0,81.76
1112,0,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Cacao - Anacardos,Vegano,65,False,Activo,2,0,67.67666666666666
1113,8436567356151,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Fresa,Barritas,76,False,Activo,2,0,67.54
1116,8436567350562,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Vainilla,Recuperación,6,False,Activo,1,0,45.47
1117,8436567352986,226ERS,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Banana-Almendras,Geles Energéticos,56,False,Activo,1,0,56.51
1125,8436567352726,226ERS,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Avellana,Geles Energéticos,39,False,Activo,2,0,6.83
1129,8436567356076,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten - Vegano - Con Ciclodextrina, Aromas Naturales y Stevia - Realmente Isotónico Sabor Menta",Hidratación,27,False,Activo,2,0,84.805
1131,8436567351033,226ERS,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Frutos Rojos,Hidratación,42,False,Activo,1,0,71.0875
1136,8436567353112,226ERS,226ERS SPORTS THINGS SL,226ERS Fish Oil Omega 3 120 perlas,Vitaminas y Minerales,1,False,Activo,2,0,68.75999999999999
1138,8436567353075,226ERS,226ERS SPORTS THINGS SL,"226ERS HydraZero 1 Sobre x 7,5 Gramos Sabor Fresa",Hidratación,11,False,Activo,1,0,17.77
1140,8436567351026,226ERS,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Limón,Hidratación,1,False,Activo,2,0,45.75
1141,8436567350111,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Limón",Geles Energéticos,0,False,Activo,2,0,53.46
1147,8436567356472,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa S,Deportes,0,False,Activo,2,0,72.5
1150,8436567350821,226ERS,226ERS SPORTS THINGS SL,226ERS Night Recovery Cream - Recuperador Muscular Nocturno 1000 gr Sabor Vainilla,Recuperación,0,False,Activo,2,0,53.84
1152,8436567356595,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa XL",Deportes,0,False,Activo,2,0,60.91500000000001
1155,8436567356625,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa S",Deportes,0,False,Activo,1,0,41.123333333333335
1157,8436567353273,226ERS,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor PiA+-a Colada,Proteínas,0,False,Activo,3,0,47.55
1159,8436567350630,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Fresa,Recuperación,0,False,Activo,2,0,15.59
1162,8436567355277,226ERS,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Chocolate,Proteínas,0,False,Activo,3,0,69.88
1163,8436567355284,226ERS,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Limón-Yogurt,Proteínas,0,False,Activo,3,0,39.095
1169,8436567350555,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Sandá,Recuperación,0,False,Activo,2,0,48.31
1170,8436567350579,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Fresa,Recuperación,0,False,Activo,1,0,79.565
1174,8436567351217,226ERS,226ERS SPORTS THINGS SL,226ERS Veggie Protein Brownie - Brownie ProtA(c)ico 420 gr Sabor Chocolate,Vegano,0,False,Activo,1,0,38.615
1176,8436567355093,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 37,Deportes,0,False,Activo,2,0,70.575
1177,8436567355109,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 38,Deportes,0,False,Activo,2,0,71.57
1181,8436567355147,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 42,Deportes,0,False,Activo,2,0,27.8
1183,8436567355161,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 44,Deportes,0,False,Activo,2,0,55.98
1184,8436567355178,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 45,Deportes,0,False,Activo,2,0,43.72
1185,8436567355185,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 46,Deportes,0,False,Activo,2,0,58.395
1187,8436567354584,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Symbiotic Complex 60 caps,Vitaminas y Minerales,0,False,Activo,2,0,28.59
