Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio,nombre_normalizado,pack_size,uom
1059,8436567354966,226ERS,226ERS SPORTS THINGS SL,226ERS Box Race Day Bar - Barritas EnergA(c)ticas Bcaa 6 Barritas X 40 Gr Sabor Manzana-Canela,Barritas,33,False,Activo,1,0,41.335,226ers box race day bar - barritas energa(c)ticas bcaa 6 barritas x 40 gr sabor manzana-canela,40.0,g
1062,8436567350708,226ERS,226ERS SPORTS THINGS SL,226ERS Glutamina en Polvo 300 gr - Pos y Pre-entreno Vegano Sabor Neutro,Sin Lactosa,16,False,Activo,2,0,42.69,226ers glutamina en polvo 300 gr - pos y pre-entreno vegano sabor neutro,300.0,g
1063,8436567354805,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar Salty Trail 1 Barrita X 40 Gr Sabor Cacahuete,Barritas,192,False,Activo,1,0,24.85,226ers race day bar salty trail 1 barrita x 40 gr sabor cacahuete,40.0,g
1067,8436567355024,226ERS,226ERS SPORTS THINGS SL,226ERS Box Race Day Bar - Barritas EnergA(c)ticas Bcaa 6 Barritas X 40 Gr Sabor Mix,Barritas,31,False,Activo,1,0,59.370000000000005,226ers box race day bar - barritas energa(c)ticas bcaa 6 barritas x 40 gr sabor mix,40.0,g
1075,8436567354690,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Chocolate-Coco,Sin Gluten,128,False,Activo,1,0,41.35,226ers vegan oat bar 1 barrita x 50 gr sabor chocolate-coco,50.0,g
1076,8436567352177,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Fresa-Anacardo,Sin Gluten,125,False,Activo,1,0,46.4025,226ers vegan oat bar 1 barrita x 50 gr sabor fresa-anacardo,50.0,g
1080,8436567353037,226ERS,226ERS SPORTS THINGS SL,226ERS HydraZero Bebida de Sales Minerales 225 gr Sabor Tropical,Hidratación,11,False,Activo,2,0,36.015,226ers hydrazero bebida de sales minerales 225 gr sabor tropical,,
1084,8436567352276,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar BCAAs 1 barrita x 40 gr - Barritas EnergA(c)ticas Veganas con BCAA's y Leucina Sabor Manzana-Canela,Energía,143,False,Activo,1,0,50.43,226ers race day bar bcaas 1 barrita x 40 gr - barritas energa(c)ticas veganas con bcaa's y leucina sabor manzana-canela,40.0,g
1086,8436567356212,226ERS,226ERS SPORTS THINGS SL,226ERS Keto Bar 1 Barrita x 45 Gr - Low Carb / Sin Gluten Sabor Chocolate Negro,Dieta Keto,112,False,Activo,2,0,58.66,226ers keto bar 1 barrita x 45 gr - low carb / sin gluten sabor chocolate negro,45.0,g
1087,8436567353440,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Naranja,Barritas,128,False,Activo,1,0,25.75,226ers vegan gummy electrolytes bar 1 barrita x 30 gr sabor naranja,30.0,g
1089,8436567353372,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Naranja-Chocolate,Vegano,107,False,Activo,1,0,28.985,226ers vegan protein bar 1 barrita x 40 gr sabor naranja-chocolate,40.0,g
1090,8436567356168,226ERS,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor Cappuccino,Proteínas,6,False,Activo,1,0,40.038,226ers whey protein 1 kilogramo - proteana suero de leche concentrada / sin gluten sabor cappuccino,,
1092,8436567353068,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Lima,Barritas,119,False,Activo,1,0,43.083333333333336,226ers vegan gummy electrolytes bar 1 barrita x 30 gr sabor lima,30.0,g
1095,8436567353389,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Oat Bar 1 barrita x 50 gr Sabor Pan de Banana,Sin Gluten,96,False,Activo,2,0,38.120000000000005,226ers vegan oat bar 1 barrita x 50 gr sabor pan de banana,50.0,g
1096,8436567355307,226ERS,226ERS SPORTS THINGS SL,226ers Vegan Recovery Drink 500 Gr Sabor Chocolate - Caramelo,Recuperación,10,False,Activo,1,0,65.34,226ers vegan recovery drink 500 gr sabor chocolate - caramelo,500.0,g
1099,8436567350487,226ERS,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Cappuccino,Articulaciones,7,False,Activo,1,0,69.205,226ers k-weeks inmune drink - complemento sistema inmune 500 gr sabor cappuccino,500.0,g
1100,8436567350494,226ERS,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Chocolate,Articulaciones,7,False,Activo,2,0,49.345,226ers k-weeks inmune drink - complemento sistema inmune 500 gr sabor chocolate,500.0,g
1101,8436567354614,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Coco,Vegano,91,False,Activo,1,0,89.425,226ers vegan protein bar 1 barrita x 40 gr sabor coco,40.0,g
1107,8436567350593,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Chocolate,Recuperación,8,False,Activo,2,0,81.76,226ers recovery drink 500 gr - batido recuperador muscular sin gluten - bajo en azaocar / low sugar - proteana de suero de leche grass fed sabor chocolate,500.0,g
1112,0,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Cacao - Anacardos,Vegano,65,False,Activo,2,0,67.67666666666666,226ers vegan protein bar 1 barrita x 40 gr sabor cacao - anacardos,40.0,g
1113,8436567356151,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Fresa,Barritas,76,False,Activo,2,0,67.54,226ers vegan gummy electrolytes bar 1 barrita x 30 gr sabor fresa,30.0,g
1116,8436567350562,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Vainilla,Recuperación,6,False,Activo,1,0,45.47,226ers recovery drink 500 gr - batido recuperador muscular sin gluten - bajo en azaocar / low sugar - proteana de suero de leche grass fed sabor vainilla,500.0,g
1117,8436567352986,226ERS,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Banana-Almendras,Geles Energéticos,56,False,Activo,1,0,56.51,226ers smart fuel mct c8 1 gel x 25 gr sabor banana-almendras,,
1125,8436567352726,226ERS,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Avellana,Geles Energéticos,39,False,Activo,2,0,6.83,226ers smart fuel mct c8 1 gel x 25 gr sabor avellana,,
1129,8436567356076,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten - Vegano - Con Ciclodextrina, Aromas Naturales y Stevia - Realmente Isotónico Sabor Menta",Hidratación,27,False,Activo,2,0,84.805,"226ers isotonic gel 1 gel x 60 ml: gel energa(c)tico isotonico - sin gluten - vegano - con ciclodextrina, aromas naturales y stevia - realmente isotonico sabor menta",60.0,ml
1131,8436567351033,226ERS,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Frutos Rojos,Hidratación,42,False,Activo,1,0,71.0875,226ers isotonic drink 1 und x 20 gr sabor frutos rojos,,
1136,8436567353112,226ERS,226ERS SPORTS THINGS SL,226ERS Fish Oil Omega 3 120 perlas,Vitaminas y Minerales,1,False,Activo,2,0,68.75999999999999,226ers fish oil omega 3 120 perlas,,
1138,8436567353075,226ERS,226ERS SPORTS THINGS SL,"226ERS HydraZero 1 Sobre x 7,5 Gramos Sabor Fresa",Hidratación,11,False,Activo,1,0,17.77,"226ers hydrazero 1 sobre x 7,5 gramos sabor fresa",,
1140,8436567351026,226ERS,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Limón,Hidratación,1,False,Activo,2,0,45.75,226ers isotonic drink 1 und x 20 gr sabor limon,,
1141,8436567350111,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Limón",Geles Energéticos,0,False,Activo,2,0,53.46,"226ers high energy gel - 1 gel x 60 ml - gel energa(c)tico sin cafeina - sin gluten, vegano / 50 gr de hidratos de carbono sabor limon",60.0,ml
1147,8436567356472,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa S,Deportes,0,False,Activo,2,0,72.5,226ers essential xc jersey azul talla de ropa s,,
1150,8436567350821,226ERS,226ERS SPORTS THINGS SL,226ERS Night Recovery Cream - Recuperador Muscular Nocturno 1000 gr Sabor Vainilla,Recuperación,0,False,Activo,2,0,53.84,226ers night recovery cream - recuperador muscular nocturno 1000 gr sabor vainilla,1000.0,g
1152,8436567356595,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa XL",Deportes,0,False,Activo,2,0,60.91500000000001,"226ers run shorts 3\"" - pantalon corto talla de ropa xl",,
1155,8436567356625,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa S",Deportes,0,False,Activo,1,0,41.123333333333335,"226ers run shorts 3\"" - pantalon corto talla de ropa s",,
1157,8436567353273,226ERS,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor PiA+-a Colada,Proteínas,0,False,Activo,3,0,47.55,226ers whey protein 1 kilogramo - proteana suero de leche concentrada / sin gluten sabor pia+-a colada,,
1159,8436567350630,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Fresa,Recuperación,0,False,Activo,2,0,15.59,226ers recovery drink 1 kg - batido recuperador muscular sin gluten - bajo en azaocar / low sugar - proteana de suero de leche grass fed - creatina y mct - ideal despua(c)s del ejercicio sabor fresa,,
1162,8436567355277,226ERS,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Chocolate,Proteínas,0,False,Activo,3,0,69.88,226ers batido keto protein 500 gr sabor chocolate,500.0,g
1163,8436567355284,226ERS,226ERS SPORTS THINGS SL,226ers Batido Keto Protein 500 gr Sabor Limón-Yogurt,Proteínas,0,False,Activo,3,0,39.095,226ers batido keto protein 500 gr sabor limon-yogurt,500.0,g
1169,8436567350555,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Sandá,Recuperación,0,False,Activo,2,0,48.31,226ers recovery drink 500 gr - batido recuperador muscular sin gluten - bajo en azaocar / low sugar - proteana de suero de leche grass fed sabor sanda,500.0,g
1170,8436567350579,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Fresa,Recuperación,0,False,Activo,1,0,79.565,226ers recovery drink 500 gr - batido recuperador muscular sin gluten - bajo en azaocar / low sugar - proteana de suero de leche grass fed sabor fresa,500.0,g
1174,8436567351217,226ERS,226ERS SPORTS THINGS SL,226ERS Veggie Protein Brownie - Brownie ProtA(c)ico 420 gr Sabor Chocolate,Vegano,0,False,Activo,1,0,38.615,226ers veggie protein brownie - brownie prota(c)ico 420 gr sabor chocolate,420.0,g
1176,8436567355093,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 37,Deportes,0,False,Activo,2,0,70.575,226ers chanclas flip flop negro talla de calzado 37,,
1177,8436567355109,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 38,Deportes,0,False,Activo,2,0,71.57,226ers chanclas flip flop negro talla de calzado 38,,
1181,8436567355147,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 42,Deportes,0,False,Activo,2,0,27.8,226ers chanclas flip flop negro talla de calzado 42,,
1183,8436567355161,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 44,Deportes,0,False,Activo,2,0,55.98,226ers chanclas flip flop negro talla de calzado 44,,
1184,8436567355178,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 45,Deportes,0,False,Activo,2,0,43.72,226ers chanclas flip flop negro talla de calzado 45,,
1185,8436567355185,226ERS,226ERS SPORTS THINGS SL,226ers Chanclas Flip Flop Negro Talla de calzado 46,Deportes,0,False,Activo,2,0,58.395,226ers chanclas flip flop negro talla de calzado 46,,
1187,8436567354584,226ERS,226ERS SPORTS THINGS SL,226ERS Vegan Symbiotic Complex 60 caps,Vitaminas y Minerales,0,False,Activo,2,0,28.59,226ers vegan symbiotic complex 60 caps,,
1188,8436567350340,226ERS,226ERS SPORTS THINGS SL,"226ERS ENERGY DRINK 500 GRAMOS  - Bebida EnergA(c)tica Sin Gluten - Vegana - Sin AzAocar / Sugar Free - Con Amilopectina, L-Carnitina, Taurina, Vitaminas y Sales Minerales Sabor Limón",Hidratación,0,False,Activo,1,0,75.08,"226ers energy drink 500 gramos - bebida energa(c)tica sin gluten - vegana - sin azaocar / sugar free - con amilopectina, l-carnitina, taurina, vitaminas y sales minerales sabor limon",,
1194,8436567355826,226ERS,226ERS SPORTS THINGS SL,226ers Crema Keto Butter Turrón 350 gr Sabor Nougat,Proteínas,0,False,Activo,3,0,85.61,226ers crema keto butter turron 350 gr sabor nougat,350.0,g
1197,8436567353310,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,False,Activo,1,0,60.036666666666676,226ers mascarilla doble capa face mask hydrazero - multicolor talla de accesorios fitness m,,
1199,8436567353303,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Face Mask White Hydrazero - Multicolor Talla de accesorios fitness M,Deportes,0,False,Activo,1,0,36.7675,226ers mascarilla doble capa face mask white hydrazero - multicolor talla de accesorios fitness m,,
1201,8436567354164,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Doble Capa Edicion Movistar Face Mask Azul Ear Talla de ropa M,Deportes,0,False,Activo,1,0,39.59333333333333,226ers mascarilla doble capa edicion movistar face mask azul ear talla de ropa m,,
1204,8436567353563,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Hydrazero Blanco Ear Talla de ropa L,Deportes,0,False,Activo,2,0,89.28999999999999,226ers mascarilla face mask hydrazero blanco ear talla de ropa l,,
1206,8436567354201,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Knolling Negro Ear Talla de ropa M,Deportes,0,False,Activo,1,0,63.089999999999996,226ers mascarilla face mask knolling negro ear talla de ropa m,,
1207,8436567354157,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Movistar Talla de ropa L,Deportes,0,False,Activo,2,0,63.99000000000001,226ers mascarilla face mask movistar talla de ropa l,,
1210,8436567354607,226ERS,226ERS SPORTS THINGS SL,226ERS Mascarilla Face Mask Race Ear Talla de ropa L,Deportes,0,False,Activo,1,0,60.09666666666666,226ers mascarilla face mask race ear talla de ropa l,,
1215,8436567353419,226ERS,226ERS SPORTS THINGS SL,226ERS Crema de Almendra Tostada 100% 320 gr,Fit Food,0,False,Activo,1,0,68.17333333333333,226ers crema de almendra tostada 100% 320 gr,320.0,g
1221,8436567351996,226ERS,226ERS SPORTS THINGS SL,226ERS Calcetines Tecnicos Black Talla de ropa S,Deportes,0,False,Activo,1,0,71.325,226ers calcetines tecnicos black talla de ropa s,,
