item_id,Proveedor,Nombre,Categoria,stock_actual,supplier_name,item_name,category,ROP,flag_rotura,flag_bajo
1099,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Cappuccino,Articulaciones,7,,,,0.0,False,False
1100,226ERS SPORTS THINGS SL,226ERS K-Weeks Inmune Drink - Complemento Sistema Inmune 500 gr Sabor Chocolate,Articulaciones,7,,,,0.0,False,False
1101,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Coco,Vegano,91,,,,0.0,False,False
1107,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Chocolate,Recuperación,8,,,,0.0,False,False
1112,226ERS SPORTS THINGS SL,226ERS Vegan Protein Bar 1 barrita x 40 gr Sabor Cacao - Anacardos,Vegano,65,,,,0.0,False,False
1113,226ERS SPORTS THINGS SL,226ERS Vegan Gummy Electrolytes Bar 1 barrita x 30 gr Sabor Fresa,Barritas,76,,,,0.0,False,False
1116,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 500 GR - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED Sabor Vainilla,Recuperación,6,,,,0.0,False,False
1117,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Banana-Almendras,Geles Energéticos,56,,,,0.0,False,False
1125,226ERS SPORTS THINGS SL,226ERS Smart Fuel MCT C8 1 gel x 25 gr Sabor Avellana,Geles Energéticos,39,,,,0.0,False,False
1129,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten - Vegano - Con Ciclodextrina, Aromas Naturales y Stevia - Realmente Isotónico Sabor Menta",Hidratación,27,,,,0.0,False,False
1131,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Frutos Rojos,Hidratación,42,,,,0.0,False,False
1136,226ERS SPORTS THINGS SL,226ERS Fish Oil Omega 3 120 perlas,Vitaminas y Minerales,1,,,,0.0,False,False
1138,226ERS SPORTS THINGS SL,"226ERS HydraZero 1 Sobre x 7,5 Gramos Sabor Fresa",Hidratación,11,,,,0.0,False,False
1140,226ERS SPORTS THINGS SL,226ERS Isotonic Drink 1 und x 20 gr Sabor Limón,Hidratación,1,,,,0.0,False,False
1141,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Limón",Geles Energéticos,0,,,,0.0,True,False
