item_id,tipo,Substitute_Product_ID,Substitute_Supplier_ID,score,precio,disponibilidad,lead_time,prioridad,lead_time_bucket
1141,externo,1007.0,,0.7192334902591692,,,,,
1162,externo,1163.0,,0.8172660546094239,,,,,
1163,externo,1162.0,,0.8172660546094239,,,,,
1169,externo,1107.0,,0.9700615712975276,,,,,
1169,externo,1116.0,,0.9664141286510496,,,,,
1169,externo,1170.0,,0.9662480874564388,,,,,
1170,externo,1107.0,,0.9833271910305716,,,,,
1170,externo,1116.0,,0.9796298695015794,,,,,
1170,externo,1169.0,,0.9662480874564388,,,,,
1177,interno,,Laboratorios Ordesa (Colnatur),,74.07169108067372,0.0,4.0,1.0,2-4
1185,interno,,"Biotech Usa, SL",,61.702246324583946,0.0,5.0,1.0,5-7
1411,externo,1771.0,,0.953287701582649,,,,,
1411,externo,1773.0,,0.9520620944609391,,,,,
1411,externo,1770.0,,0.9518425326657411,,,,,
1421,interno,,AMIX LEVANTE S.L.,,52.71,0.0,2.0,1.0,2-4
1427,externo,1428.0,,0.8824404901198221,,,,,
1428,externo,1427.0,,0.8824404901198221,,,,,
1456,externo,1461.0,,0.9440259644869972,,,,,
1456,externo,1457.0,,0.9295706369534829,,,,,
1456,externo,1459.0,,0.9070338280446288,,,,,
1457,externo,1456.0,,0.9295706369534829,,,,,
1457,externo,1461.0,,0.9295706369534829,,,,,
1457,externo,1459.0,,0.8931449398555341,,,,,
1459,externo,1456.0,,0.9070338280446288,,,,,
1459,externo,1461.0,,0.9070338280446288,,,,,
1459,externo,1457.0,,0.8931449398555341,,,,,
1461,externo,1456.0,,0.9440259644869972,,,,,
1461,externo,1457.0,,0.9295706369534829,,,,,
1461,externo,1459.0,,0.9070338280446288,,,,,
1507,externo,1508.0,,0.93866082799853,,,,,
1508,externo,1507.0,,0.93866082799853,,,,,
1569,interno,,"Big Man Nutrition, SL",,7.95807497915428,0.0,12.0,1.0,10-15
1581,externo,1277.0,,0.9524123366575258,,,,,
1665,externo,1666.0,,0.8723678457382961,,,,,
1666,externo,1665.0,,0.8723678457382961,,,,,
1690,externo,1300.0,,0.9340861976801388,,,,,
