feature,PC1,PC2,PC3,PC4,PC5
m_01,-0.2151246598583761,-0.002062256678189443,0.014592807807123236,-0.0479174163564558,0.12496755239602214
m_02,0.21524427284588168,-0.0003833550875846324,-0.0008981466782329516,-0.05594905076381854,-0.0021789477252169933
m_03,0.21534813419090035,0.00035050320544327464,-0.005009500746280113,-0.024807446053728525,-0.039038216496884395
m_04,-0.21504828370539142,0.0010442074837960112,-0.002805650022231819,0.08397373339331105,-0.03102367712460078
m_05,0.20903802216149117,-0.006880454673926447,0.035575875203844726,-0.3306819900840106,0.3246751312818752
m_06,0.2140275431760765,0.0040678144192724626,-0.025809170685203567,0.13327867714635538,-0.22556258929153836
m_07,-0.21533894821624855,-0.0010143134118793182,0.008726959675612133,-0.0033806451157872047,0.07236893488814043
m_08,0.21534924840046485,0.0008706403612867267,-0.007922481826552889,-0.0027218310760184434,-0.06515576364478247
m_09,-0.21311664366005365,0.003862421280841499,-0.018616043087739335,0.20328339146574162,-0.1727258048808451
m_10,-0.21479288033700025,-0.0028679682513222237,0.01910040443855911,-0.08219031341075117,0.1653913914555863
m_11,-0.21500396987191583,0.0011599179047794908,-0.003454299171143266,0.08887880771453356,-0.03683820917374365
m_12,0.21520656958038967,-0.0005401173314630712,-1.968527440035834e-05,-0.06259846674206548,0.005696244767666717
dow_0,0.21535619675138198,0.0006354058982901068,-0.00660517792798932,-0.012711527322720973,-0.05334472260647633
dow_1,0.21535593273627576,0.0005691876066676335,-0.0062343266478619664,-0.015523208758132675,-0.05001970407286627
dow_2,0.21532356685813714,7.82306459160254e-05,-0.003484323606683077,-0.036364028015846574,-0.025364259055921868
dow_3,-0.21533950247297962,-0.0010079405798054555,0.00869127724041185,-0.0031099427507137976,0.07204899363518306
dow_4,-0.214942480768538,-0.0025470648540842316,0.017305340134457534,-0.0685366911143869,0.14929289239458965
dow_5,-0.2148649570311774,-0.0027195314535601745,0.018270121757972428,-0.07587417532820423,0.15794517014537252
dow_6,-0.21237073399395567,0.004552005481137754,-0.02248852856303594,0.23242671583622082,-0.20742587436363177
y2022,-0.004205958751769578,0.5712307720888266,0.07970516649518702,-0.02063205835063911,-0.014725767268904288
y2023,-0.004185412469818749,0.5712323761147442,0.07967810461771953,-0.020696424968118386,-0.015089299361098475
y2024,-0.0041611751013176075,0.5712305762693128,0.0797121554090882,-0.02095584009709877,-0.015464741532089972
g_23_22,0.20826629894886034,0.0033282010907890913,-0.0020744270106132843,0.3410626789051723,-0.4090997864310638
g_24_23,0.21109232642242104,-0.005563897662335049,0.027027251138581624,-0.2754793343713419,0.25473831925537815
cv_daily,0.11881104230697075,-0.08614852461252206,0.8071840540939451,0.45793533758293714,0.3388014492630078
p95_over_med,0.15284249837798877,0.11614035369616893,-0.5694854565802654,0.5748522747320701,0.5553125275313997
