cluster,model,mae,wape,smape
0,SeasonalNaive,15.46174863387978,0.0648283920634119,6.268485132396088
1,SeasonalNaive,286.61475409836066,0.0740720080383951,6.9523423726016835
2,SeasonalNaive,123.2896174863388,0.06316614639472454,6.472661735569188
3,SeasonalNaive,87.1311475409836,0.055267194093740105,5.314006300745657
