product_id,year,tipo_outlier,decision_aplicada,origen,decision_final
1000,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1000,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1000,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1001,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1001,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1001,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1003,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1003,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1003,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1007,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1007,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1007,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1008,2022,pico_aislado,suavizado_a015,dbscan,suavizado_a015
1008,2023,pico_aislado,suavizado_a015,dbscan,suavizado_a015
1008,2024,pico_aislado,suavizado_a015,dbscan,suavizado_a015
1013,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1013,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1013,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1014,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1014,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1014,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1019,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1019,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1019,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1024,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1024,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1024,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1030,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1030,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1030,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1035,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1035,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1035,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1043,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1043,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1043,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1049,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1049,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1049,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1051,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1051,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1051,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1053,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1053,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1053,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1055,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1055,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1055,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1056,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1056,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1056,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1057,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1057,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1057,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1059,2022,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1059,2023,pico_aislado,suavizado_a015,val_comp,suavizado_a015
1059,2024,pico_aislado,suavizado_a015,val_comp,suavizado_a015
